
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 01:27:33 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:55:28 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:56:10 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 04:59:54 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 05:07:13 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 05:07:38 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 05:07:48 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 898.61 KB | 10/11/2007 | 05:10:35 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 898.62 KB | 10/11/2007 | 05:13:46 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 898.63 KB | 10/11/2007 | 05:17:18 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 898.63 KB | 10/11/2007 | 05:19:34 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 898.64 KB | 10/11/2007 | 05:22:56 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 898.65 KB | 10/11/2007 | 05:26:33 PM
74.117.228.114-CPE000625861248-CM00e06f18bd8c.cpe.net.cable.rogers.com | average.csv | 279 Bytes | 10/11/2007 | 09:11:36 PM
